Category,Taiwanese,Tai-lo,Mandarin,English
Verbs,做,tsò,做,to do; make
Verbs,做工,tsò-kang,工作,to work
Verbs,讀冊,tha̍k-tsheh,讀書; 上學,to study; go to school
Verbs,𨑨迌,tshit-thô,玩; 遊玩,to have fun; play; amuse oneself
Verbs,等,tán,等,to wait
Verbs,知,tsai,知道,to know
Verbs,毋知,m̄ tsai,不知道,don't know
Verbs,會記得,ē-kì--tit,記得,to remember
Verbs,袂記得,bē-kì-tit,忘記,to forget
Verbs,開,khui,開,to open
Verbs,關,kuainn,關,to close
Verbs,驚,kiann,怕,to be afraid
Verbs,笑,tshiò,笑,to laugh; smile
Verbs,哭,khàu,哭,to cry
Verbs,掃,sàu,掃,to sweep
Verbs,煮,tsú,煮,to cook; boil
Verbs,炒,tshá,炒,to stir-fry
Verbs,煎,tsian,煎,to pan-fry
Verbs,唱歌,tshiùnn-kua,唱歌,to sing
Verbs,畫,uē,畫,to draw; paint
Verbs,補,póo,補,to mend; patch
Verbs,款,khuán,收拾,to tidy; pack
Verbs,搝,khiú,拉,to pull
Food & drink,臭,tshàu,臭,smelly
Food & drink,油,iû,油,oil; greasy
Food & drink,燒烙,sio-lō,溫暖,warm (comforting)
Food & drink,涼,liâng,涼,cool
Food & drink,凊,tshìn,冰涼,cold to the touch
Family & people,老爸,lāu-pē,爸爸,father
Family & people,老母,lāu-bú,媽媽,mother
Family & people,阿爸,a-pah,爸爸(暱稱),dad
Family & people,阿母,a-bú,媽媽(暱稱),mom
Family & people,查埔囝,tsa-poo-kiánn,兒子,son
Family & people,查某囝,tsa-bóo-kiánn,女兒,daughter
Family & people,兄,hiann,哥哥,older brother
Family & people,小弟,sió-tī,弟弟,younger brother
Family & people,姊,tsí,姊姊,older sister
Family & people,小妹,sió-muē,妹妹,younger sister
Family & people,阿公,a-kong,爺爺/外公,grandfather
Family & people,阿媽,a-má,奶奶/外婆,grandmother
Family & people,翁,ang,丈夫,husband
Family & people,某,bóo,妻子,wife
Family & people,厝內人,tshù-lāi-lâng,家人,family members
Family & people,阿舅,a-kū,舅舅,maternal uncle
Family & people,阿姨,a-î,阿姨,aunt (maternal)
Family & people,後生,hāu-senn,兒子(較文言),son (formal)
Family & people,序大人,sī-tuā-lâng,長輩；父母,elders; parents
Family & people,親情,tshin-tsiânn,親戚,relatives
Family & people,頭家,thâu-ke,老闆,boss; owner
Family & people,辛勞,sin-lô,員工；夥計,employee; hired hand
Family & people,先生,sian-sinn,老師；先生,teacher; sir; doctor
Family & people,學生,ha̍k-sing,學生,student
Directions,正手,tsiànn-tshiú,右手邊,right (side)
Directions,倒手,tò-tshiú,左手邊,left (side)
Directions,頂面,tíng-bīn,上面,on top of; above
Directions,下跤,ē-kha,下面,under; below
Directions,內底,lāi-té,裡面,inside
Directions,外口,guā-kháu,外面,outside
Directions,邊仔,pinn--á,旁邊,next to; beside
Directions,頭前,thâu-tsîng,前面,in front
Directions,後壁,āu-piah,後面,behind
Directions,正手爿,tsiànn-tshiú-pîng,右邊,right side
Directions,倒手爿,tò-tshiú-pîng,左邊,left side
Directions,中央,tiong-ng,中間,middle
Body parts,頭,thâu,頭,head
Body parts,面,bīn,臉,face
Body parts,目睭,ba̍k-tsiu,眼睛,eyes
Body parts,鼻仔,phīnn-á,鼻子,nose
Body parts,喙,tshuì,嘴巴,mouth
Body parts,耳仔,hīnn-á,耳朵,ears
Body parts,手,tshiú,手,hand; arm
Body parts,跤,kha,腳,foot; leg
Body parts,腹肚,pak-tóo,肚子,stomach; belly
Body parts,心肝,sim-kuann,心,heart
Body parts,頭毛,thâu-mn̂g,頭髮,hair
Body parts,喙齒,tshuì-khí,牙齒,teeth
Body parts,肩胛頭,king-kah-thâu,肩膀,shoulder
Body parts,尻川,kha-tshng,屁股,buttocks
Body parts,指頭仔,tsíng-thâu-á,手指,fingers
Body parts,頷頸,ām-kún,脖子,neck
Body parts,胸坎,hing-khám,胸口,chest
Body parts,尻脊,kha-tsiah,背部,back (body)
Body parts,腰,io,腰,waist
Body parts,跤肚,kha-tóo,小腿肚,calf (of leg)
Body parts,血,hueh,血,blood
Body parts,骨,kut,骨,bone
Body parts,皮,phuê,皮,skin
Colors,紅色,âng-sik,紅色,red
Colors,烏色,oo-sik,黑色,black
Colors,白色,pe̍h-sik,白色,white
Colors,黃色,n̂g-sik,黃色,yellow
Colors,青色,tshinn-sik,綠色/藍色,green/blue
Colors,紫色,tsí-sik,紫色,purple
Colors,咖啡色,ka-pi-sik,咖啡色,brown
Colors,灰色,hue-sik,灰色,gray
Places & directions,病院,pēnn-īnn,醫院,hospital
Places & directions,車頭,tshia-thâu,車站,train/bus station
Places & directions,機場,ki-tiûnn,機場,airport
Places & directions,廟,biō,廟,temple
Places & directions,菜市仔,tshài-tshī-á,菜市場,traditional market
Places & directions,便利商店,piān-lī-siong-tiàm,便利商店,convenience store
Places & directions,銀行,gîn-hâng,銀行,bank
Places & directions,台灣,Tâi-uân,台灣,Taiwan
Places & directions,台北,Tâi-pak,台北,Taipei
Places & directions,路,lōo,路,road; street
Places & directions,車站,tshia-tsām,車站,station
Places & directions,郵局,iû-kio̍k,郵局,post office
Places & directions,餐廳,tshan-thiann,餐廳,restaurant
Places & directions,橋,kiô,橋,bridge
Places & directions,巷仔,hāng-á,巷子,alley; lane
Transportation,車,tshia,車,vehicle; car
Transportation,汽車,khì-tshia,汽車,car
Transportation,機車,ki-tshia,機車,scooter; motorcycle
Transportation,跤踏車,kha-ta̍h-tshia,腳踏車,bicycle
Transportation,公車,kong-tshia,公車,bus
Transportation,火車,hué-tshia,火車,train
Transportation,飛行機,hue-lîng-ki,飛機,airplane
Transportation,船,tsûn,船,boat; ship
Transportation,駛車,sái-tshia,開車,to drive
Transportation,行路,kiânn-lōo,走路,to walk (on foot)
Shopping & money,算便宜咧,sǹg sio̍k--leh,算便宜一點,give me a discount
Shopping & money,找錢,tsāu-tsînn,找錢,give change
Shopping & money,店,tiàm,店,shop; store
Shopping & money,市場,tshī-tiûnn,市場,market
Shopping & money,買物件,bé mi̍h-kiānn,買東西,to shop; buy things
Weather & nature,天氣,thinn-khì,天氣,weather
Weather & nature,落雨,lo̍h-hōo,下雨,to rain
Weather & nature,好天,hó-thinn,晴天,sunny weather
Weather & nature,落雪,lo̍h-seh,下雪,to snow
Weather & nature,風,hong,風,wind
Weather & nature,雲,hûn,雲,cloud
Weather & nature,熱,jua̍h,熱,hot (weather)
Weather & nature,寒,kuânn,冷,cold (weather)
Weather & nature,打雷,phah-luî,打雷,thunder
Weather & nature,風颱,hong-thai,颱風,typhoon
Weather & nature,日頭,ji̍t-thâu,太陽,sun
Weather & nature,月娘,gue̍h-niû,月亮,moon
Weather & nature,星,tshinn,星星,star
Weather & nature,天,thinn,天,sky; heaven
Weather & nature,地,tē,地,ground; earth
Weather & nature,海,hái,海,sea
Weather & nature,山,suann,山,mountain
Weather & nature,溪,khe,溪,stream; river
Weather & nature,石頭,tsio̍h-thâu,石頭,stone; rock
Weather & nature,土,thóo,土,soil; earth
Weather & nature,火,hué,火,fire
Weather & nature,樹仔,tshiū-á,樹,tree
Weather & nature,花,hue,花,flower
Weather & nature,草,tsháu,草,grass
Animals,狗仔,káu-á,狗,dog
Animals,貓仔,niau-á,貓,cat
Animals,豬,ti,豬,pig
Animals,牛,gû,牛,cow; cattle
Animals,雞,ke,雞,chicken
Animals,鳥仔,tsiáu-á,鳥,bird
Animals,魚仔,hî-á,魚,fish (animal)
Animals,鼠仔,tshí-á,老鼠,mouse; rat
Animals,兔仔,thòo-á,兔子,rabbit
Animals,羊,iûnn,羊,sheep; goat
Animals,馬,bé,馬,horse
Animals,虎,hóo,老虎,tiger
Animals,象,tshiūnn,大象,elephant
Animals,蛇,tsuâ,蛇,snake
Animals,蜂,phang,蜜蜂,bee
Animals,蝶仔,ia̍h-á,蝴蝶,butterfly
Animals,狗蟻,káu-hiā,螞蟻,ant
Animals,蠓,báng,蚊子,mosquito
Animals,鴨,ah,鴨,duck
Animals,鵝,gô,鵝,goose
Household & objects,桌仔,toh-á,桌子,table
Household & objects,椅仔,í-á,椅子,chair
Household & objects,眠床,bîn-tshn̂g,床,bed
Household & objects,冊,tsheh,書,book
Household & objects,筆,pit,筆,pen
Household & objects,電話,tiān-uē,電話,telephone
Household & objects,電視,tiān-sī,電視,television
Household & objects,冷氣,líng-khì,冷氣,air conditioner
Household & objects,電火,tiān-hué,電燈,electric light
Household & objects,鎖匙,só-sî,鑰匙,key
Household & objects,碗,uánn,碗,bowl
Household & objects,箸,tī,筷子,chopsticks
Household & objects,杯仔,pue-á,杯子,cup
Household & objects,門,mn̂g,門,door
Household & objects,窗仔,thang-á,窗戶,window
Household & objects,厝內,tshù-lāi,家裡；房間,inside the house; home
Household & objects,房間,pâng-king,房間,room
Household & objects,灶跤,tsàu-kha,廚房,kitchen
Household & objects,便所,piān-sóo,廁所,toilet
Household & objects,冰箱,ping-siunn,冰箱,refrigerator
Household & objects,電腦,tiān-náu,電腦,computer
Household & objects,手機仔,tshiú-ki-á,手機,cell phone
Household & objects,紙,tsuá,紙,paper
Household & objects,雨傘,hōo-suànn,雨傘,umbrella
Household & objects,鏡,kiànn,鏡子,mirror
Household & objects,藥仔,io̍h-á,藥,medicine
Clothing,帽仔,bō-á,帽子,hat
Clothing,戴,tì,戴,to wear (on head)
Clothing,褪,thǹg,脫,to take off (clothes)
Clothing,襪仔,bue̍h-á,襪子,socks
Clothing,外套,guā-thò,外套,jacket; coat
Classifiers,本,pún,本,classifier for books
Classifiers,台,tâi,台,classifier for machines/vehicles
Classifiers,隻,tsiah,隻,classifier for animals
Classifiers,枝,ki,支,classifier for long thin objects
Classifiers,張,tiunn,張,classifier for flat objects
Classifiers,粒,lia̍p,粒/顆,classifier for round objects
Classifiers,杯,pue,杯,classifier for cups
Classifiers,擺,pái,次,classifier for occurrences/times
Everyday phrases & routines,會當,ē-tàng,可以; 能夠,to be able to
Everyday phrases & routines,袂當,bē-tàng,不能; 不可以,cannot; not allowed
Everyday phrases & routines,歇睏,hioh-khùn,休息,to rest
Everyday phrases & routines,出去,tshut-khì,出去,to go out
Everyday phrases & routines,入來,ji̍p-lâi,進來,to come in
Everyday phrases & routines,出來,tshut-lâi,出來,to come out
Everyday phrases & routines,入去,ji̍p-khì,進去,to go in
Everyday phrases & routines,刷喙齒,tshè-tshuì-khí,刷牙,to brush teeth
Everyday phrases & routines,食藥仔,tsia̍h io̍h-á,吃藥,to take medicine
Everyday phrases & routines,看醫生,khuànn i-sing,看醫生,to see a doctor
Everyday phrases & routines,生病,senn-pēnn,生病,to be sick
Everyday phrases & routines,感冒,kám-mōo,感冒,to catch a cold
Everyday phrases & routines,頭疼,thâu-thiànn,頭痛,headache
Everyday phrases & routines,誠,tsiânn,非常,very; really
Everyday phrases & routines,有夠,ū-kàu,夠; 相當,quite; enough
Everyday phrases & routines,小可仔,sió-khuá-á,一點點,a little bit
Everyday phrases & routines,拄仔好,tú-á-hó,剛好,just right; coincidentally
Everyday phrases & routines,煞矣,suah--ah,結束了,it's over; finished
Everyday phrases & routines,猶咧,iáu-leh,還在,still (doing/being)
Everyday phrases & routines,正經,tsìng-king,認真; 真的,seriously; really
Everyday phrases & routines,騙人,phiàn--lâng,騙人,to lie; deceive
Everyday words (food and drink),點心,tiám-sim,點心,snack
Everyday words (food and drink),食點心,tsia̍h tiám-sim,吃點心,to have a snack
Everyday words (food and drink),糖仔,thn̂g-á,糖果,candy
Everyday words (food and drink),枝仔冰,ki-á-ping,冰棒,popsicle
Everyday words (food and drink),冰,ping,冰,ice
Everyday words (food and drink),汽水,khì-tsuí,汽水,soda; soft drink
Everyday words (actions),寫字,siá-jī,寫字,to write (characters)
Everyday words (actions),畫圖,uē-tôo,畫圖,to draw a picture
Everyday words (actions),圖,tôo,圖,picture; drawing
Everyday words (actions),歌,kua,歌,song
Everyday words (actions),聽歌,thiann-kua,聽歌,to listen to music
Everyday words (actions),看電視,khuànn tiān-sī,看電視,to watch TV
Everyday words (actions),講古,kóng-kóo,講故事,to tell a story
Everyday words (actions),故事,kòo-sū,故事,story
Everyday words (actions),聽故事,thiann kòo-sū,聽故事,to listen to a story
Everyday words (actions),拍球,phah-kiû,打球,to play ball
Everyday words (actions),踢,that,踢,to kick
Everyday words (actions),球,kiû,球,ball
Everyday words (actions),好耍,hó-sńg,好玩,fun (to play)
Everyday words (actions),走相逐,tsáu-sio-jiok,追逐;賽跑,to chase; race each other
Everyday words (actions),覕相揣,bih-sio-tshuē,捉迷藏,hide-and-seek
Everyday words (actions),運動,ūn-tōng,運動,to exercise; sports
Everyday words (actions),攬,lám,抱,to hug
Everyday words (actions),唚,tsim,親（吻）,to kiss
Everyday words (actions),惜,sioh,疼惜,to cherish; show affection to
Everyday words (daily routine),洗手,sé-tshiú,洗手,to wash hands
Everyday words (daily routine),洗面,sé-bīn,洗臉,to wash one's face
Everyday words (daily routine),洗跤,sé-kha,洗腳,to wash one's feet
Everyday words (daily routine),穿鞋,tshīng ê,穿鞋,to put on shoes
Everyday words (daily routine),穿褲,tshīng khòo,穿褲子,to put on pants
Everyday words (daily routine),褪衫,thǹg-sann,脫衣服,to take off clothes
Everyday words (daily routine),睏晝,khùn-tàu,睡午覺,to take a nap
Everyday words (daily routine),愛睏,ài-khùn,想睡; 睏,sleepy
Everyday words (daily routine),放尿,pàng-jiō,尿尿,to pee
Everyday words (daily routine),放屎,pàng-sái,大便,to poop
Everyday words (daily routine),摒掃,piànn-sàu,打掃,to clean up
Everyday words (daily routine),掃塗跤,sàu thôo-kha,掃地,to sweep the floor
Everyday words (daily routine),塗跤,thôo-kha,地上,floor; ground
Everyday words (feelings and body),腹肚疼,pak-tóo thiànn,肚子痛,to have a stomachache
Everyday words (feelings and body),頭殼疼,thâu-khak thiànn,頭痛,to have a headache
Everyday words (feelings and body),頭殼,thâu-khak,頭,head
Everyday words (feelings and body),發燒,huat-sio,發燒,to have a fever
Everyday words (feelings and body),跋倒,pua̍h-tó,跌倒,to fall down
Everyday words (feelings and body),乖,kuai,乖,well-behaved (of a child)
Everyday words (feelings and body),毋願,m̄-guān,不願意,unwilling; won't
Everyday words (feelings and body),惡,ok,兇,fierce; mean
Everyday words (feelings and body),狡怪,káu-kuài,調皮; 頑皮,mischievous; naughty
Everyday words (school and outings),教室,kàu-sik,教室,classroom
Everyday words (school and outings),同學,tông-ha̍k,同學,classmate
Everyday words (school and outings),冊包,tsheh-pau,書包,schoolbag
Everyday words (school and outings),簿仔,phōo-á,簿子,notebook
Everyday words (school and outings),生日,senn-ji̍t,生日,birthday
Everyday words (school and outings),騎車,khiâ-tshia,騎車,to ride (a bike/scooter)
Everyday words (school and outings),坐車,tsē-tshia,坐車,to ride in a vehicle
Everyday words (school and outings),等車,tán-tshia,等車,to wait for the bus
Everyday words (school and outings),過馬路,kuè bé-lōo,過馬路,to cross the road
Everyday words (school and outings),馬路,bé-lōo,馬路,road (for vehicles)
Everyday words (school and outings),青紅燈,tshinn-âng-ting,紅綠燈,traffic light
